<span style=color:grey>Feb 20</span>,<span style=color:grey><a href=/post/02272025gsoc/ >**UC OSPO accepted as GSoC Mentor Organizations**</a></span>
<span style=color:grey>Feb 20</span>,<span style=color:grey>Final Deadline for mentors posting projects for OSRE consideration</span>
<span style=color:grey>Mar 15</span>,<span style=color:grey>Deadline **HAS PASSED** for students to join Slack channel (required for proposal to be considered - WE ARE NO LONGER ACCEPTING NEW REQUESTS)</span>
<span style=color:grey>March 31</span>,<span style=color:grey>Student proposal deadline</span>
<span style=color:grey>April 30</span>,<span style=color:grey>Accepted student proposals announced</span>
<span style=color:grey>May 1 </span>,<span style=color:grey> Begining of Onboarding</span>
<span style=color:blue;font-weight:bold>Late May to August/September* </span>,<span style=color:blue;font-weight:bold>OSRE participants work on projects / includes one mid-term evaluation</span>
 *Project start and end dates are flexible but need to be OK'd with Mentor and Org Admin,


